"athleteName","clubName","countryName"
"Tommy McDermott (footballer, born 1878)","Chelsea F.C.","United Kingdom"
"Peter Woods (footballer)","Manchester United F.C.","United Kingdom"
"Sam Davies (footballer, born 1894)","Manchester United F.C.","United Kingdom"
"Tomás Reymão","Chelsea F.C.","Portugal"
"Jamie Taylor (footballer, born 1977)","Manchester United F.C.","United Kingdom"
"José Bosingwa","Chelsea F.C.","Democratic Republic of the Congo"
"Kurt Zouma","Chelsea F.C.","France"
"Stipe Perica","Chelsea F.C.","Croatia"
"Mohamed Elneny","Arsenal F.C.","Egypt"
"Jehad Muntasser","Arsenal F.C.","Libya"
"Alan Miller (footballer)","Arsenal F.C.","United Kingdom"
"Roddy McEachrane","Arsenal F.C.","Scotland"
"Colin Viljoen","Chelsea F.C.","South Africa"
"Bert Hill","Chelsea F.C.","United Kingdom"
"Bill Buckenham","Arsenal F.C.","United Kingdom"
"Bill Dickie (footballer)","Chelsea F.C.","United Kingdom"
"Charlie Hare","Arsenal F.C.","United Kingdom"
"Charlie Satterthwaite","Arsenal F.C.","United Kingdom"
"William McCartney (footballer)","Manchester United F.C.","Scotland"
"Charlie Harrison (footballer, born 1861)","Manchester United F.C.","United Kingdom"
"Phil Hughes (footballer)","Manchester United F.C.","United Kingdom"
"Terry Mancini","Arsenal F.C.","United Kingdom"
"George Burrell (footballer)","Arsenal F.C.","United Kingdom"
"George Perrins","Manchester United F.C.","United Kingdom"
"Paddy McGuire (footballer)","Manchester United F.C.","United Kingdom"
"Reece Brown (footballer, born 1991)","Manchester United F.C.","United Kingdom"
"Joe Spence (footballer, born 1898)","Manchester United F.C.","England"
"Dick Duckworth (footballer, born 1882)","Manchester United F.C.","United Kingdom"
"Emmanuel Sarki","Chelsea F.C.","Nigeria"
"John Halls","Arsenal F.C.","United Kingdom"
"Peter Marinello","Arsenal F.C.","United Kingdom"
"Mark Stein (footballer)","Chelsea F.C.","South Africa"
"Zeke Rowe","Chelsea F.C.","United Kingdom"
"Harry Lappin","Manchester United F.C.","United Kingdom"
"Harry Wilkinson (footballer, born 1926)","Chelsea F.C.","United Kingdom"
"Harry Waller (footballer, born 1917)","Arsenal F.C.","United Kingdom"
"Harry Medhurst","Chelsea F.C.","United Kingdom"
"Bobby Howlett","Chelsea F.C.","United Kingdom"
"Peter Abbott (footballer)","Manchester United F.C.","United Kingdom"
"Ken O'Rourke","Arsenal F.C.","United Kingdom"
"Josh Harrop","Manchester United F.C.","United Kingdom"
"Ted Bowen","Arsenal F.C.","United Kingdom"
"Ben Gordon (footballer, born 1991)","Chelsea F.C.","United Kingdom"
"Nwankwo Kanu","Arsenal F.C.","Nigeria"
"Yossi Benayoun","Chelsea F.C.","Israel"
"Yossi Benayoun","Arsenal F.C.","Israel"
"Charles Booth (footballer)","Arsenal F.C.","United Kingdom"
"Craig McKernon","Arsenal F.C.","United Kingdom"
"Jim Leighton","Arsenal F.C.","Scotland"
"Lee Dixon","Arsenal F.C.","United Kingdom"
"Frank Simek","Arsenal F.C.","United States"
"Boy-Boy Mosia","Chelsea F.C.","South Africa"
"Roarie Deacon","Arsenal F.C.","United Kingdom"
"Ernie Thompson (footballer, born 1909)","Manchester United F.C.","United Kingdom"
"Mark Heeley","Arsenal F.C.","United Kingdom"
"Ben Marden","Arsenal F.C.","United Kingdom"
"Peter Corthine","Chelsea F.C.","United Kingdom"
"Arthur Gómez","Manchester United F.C.","The Gambia"
"Reg Allen","Manchester United F.C.","United Kingdom"
"Luigi Gaspar","Arsenal F.C.","United Kingdom"
"Nacer Barazite","Arsenal F.C.","Netherlands"
"Danny Simpson","Manchester United F.C.","United Kingdom"
"Sammy Nelson","Arsenal F.C.","United Kingdom"
"Enoch West","Manchester United F.C.","United Kingdom"
"Richard Olise","Chelsea F.C.","United Kingdom"
"Tommy Bamford","Manchester United F.C.","United Kingdom"
"Charlie Colkett","Chelsea F.C.","United Kingdom"
"Herbert Broomfield","Manchester United F.C.","United Kingdom"
"Peggy Lokando","Arsenal F.C.","United Kingdom"
"Peter O'Sullivan (Welsh footballer)","Manchester United F.C.","United Kingdom"
"Domingos Quina","Chelsea F.C.","Guinea-Bissau"
"Kristopher Da Graca","Arsenal F.C.","Sweden"
"George Davie (footballer)","Arsenal F.C.","Scotland"
"George Payne (footballer, born 1887)","Arsenal F.C.","United Kingdom"
"Kevin Wright (footballer, born 1995)","Chelsea F.C.","United Kingdom"
