athleteName,clubName,countryName
Bobby Tambling,Chelsea F.C.,United Kingdom
Christian Atsu,Chelsea F.C.,Ghana
Joe Keenan,Chelsea F.C.,United Kingdom
Yves Ma-Kalambay,Chelsea F.C.,Belgium
Pat Nevin,Chelsea F.C.,United Kingdom
Slaviša Jokanović,Chelsea F.C.,Serbia
Eddie McCreadie,Chelsea F.C.,United Kingdom
Rati Aleksidze,Chelsea F.C.,Georgia
Hughie Gallacher,Chelsea F.C.,United Kingdom
Samuele Dalla Bona,Chelsea F.C.,Italy
Jacopo Sala,Chelsea F.C.,Italy
Michael Essien,Chelsea F.C.,Ghana
Piet de Visser,Chelsea F.C.,Kingdom of the Netherlands
Jakob Kjeldbjerg,Chelsea F.C.,Kingdom of Denmark
Marco Ambrosio,Chelsea F.C.,Italy
Gabriele Ambrosetti,Chelsea F.C.,Italy
Danny Philliskirk,Chelsea F.C.,United Kingdom
Conor Clifford,Chelsea F.C.,Ireland
Jacob Mellis,Chelsea F.C.,United Kingdom
Carl Magnay,Chelsea F.C.,United Kingdom
Chris Zoricich,Chelsea F.C.,New Zealand
John Tait Robertson,Chelsea F.C.,United Kingdom
Paul Elliott,Chelsea F.C.,United Kingdom
Craig Forrest,Chelsea F.C.,Canada
Tom Taiwo,Chelsea F.C.,United Kingdom
Eddie Newton,Chelsea F.C.,United Kingdom
Dave Mitchell,Chelsea F.C.,Australia
David Speedie,Chelsea F.C.,United Kingdom
David Webb,Chelsea F.C.,United Kingdom
Ken Armstrong,Chelsea F.C.,United Kingdom
Harry Burgess,Chelsea F.C.,United Kingdom
Derek Kevan,Chelsea F.C.,United Kingdom
Samuel Eto'o,Chelsea F.C.,Cameroon
Eddie Niedzwiecki,Chelsea F.C.,United Kingdom
George Hilsdon,Chelsea F.C.,United Kingdom
John Hollins,Chelsea F.C.,United Kingdom
Milan Lalkovič,Chelsea F.C.,Slovakia
Rhys Taylor,Chelsea F.C.,United Kingdom
Roy Wegerle,Chelsea F.C.,South Africa
Micky Droy,Chelsea F.C.,United Kingdom
Alan Hudson,Chelsea F.C.,United Kingdom
Alex Jackson,Chelsea F.C.,United Kingdom
Len Dolding,Chelsea F.C.,United Kingdom
Nat Robinson,Chelsea F.C.,United Kingdom
Neil Clement,Chelsea F.C.,United Kingdom
George Hunter,Chelsea F.C.,United Kingdom of Great Britain and Ireland
Gustavo Lazzaretti,Chelsea F.C.,Brazil
Chris Hutchings,Chelsea F.C.,United Kingdom
Andrew Wilson,Chelsea F.C.,United Kingdom
Ian Hutchinson,Chelsea F.C.,United Kingdom
Jimmy Townley,Chelsea F.C.,United Kingdom
Joey Jones,Chelsea F.C.,United Kingdom
John Spencer,Chelsea F.C.,United Kingdom
Nathan Aké,Chelsea F.C.,Kingdom of the Netherlands
Craig Rocastle,Chelsea F.C.,United Kingdom
Pop Robson,Chelsea F.C.,United Kingdom
Morten Nielsen,Chelsea F.C.,Kingdom of Denmark
Danny Drinkwater,Chelsea F.C.,United Kingdom
Max Woosnam,Chelsea F.C.,United Kingdom
Marvin Hinton,Chelsea F.C.,United Kingdom
Max Seeburg,Chelsea F.C.,Germany
Mickey Thomas,Chelsea F.C.,United Kingdom
Ned Barkas,Chelsea F.C.,United Kingdom
Mike Adams,Chelsea F.C.,United Kingdom
Ernie Campbell,Chelsea F.C.,Australia
Joe Bambrick,Chelsea F.C.,United Kingdom
Peter Houseman,Chelsea F.C.,United Kingdom
Liam Bridcutt,Chelsea F.C.,United Kingdom
Fred Richardson,Chelsea F.C.,United Kingdom
"Charles Bunyan, Jr.",Chelsea F.C.,United Kingdom
Sebastian Kneißl,Chelsea F.C.,Germany
Craig Burley,Chelsea F.C.,United Kingdom
Michael Duberry,Chelsea F.C.,United Kingdom
Neil Sullivan,Chelsea F.C.,United Kingdom
David Hay,Chelsea F.C.,United Kingdom
Eamonn Bannon,Chelsea F.C.,United Kingdom
Jon Harley,Chelsea F.C.,United Kingdom
Brian Turner,Chelsea F.C.,New Zealand
Harold Halse,Chelsea F.C.,United Kingdom
Robert Fleck,Chelsea F.C.,United Kingdom
Boy-Boy Mosia,Chelsea F.C.,South Africa
Gerry Peyton,Chelsea F.C.,United Kingdom
Toon Effern,Chelsea F.C.,Kingdom of the Netherlands
Peter Sillett,Chelsea F.C.,United Kingdom
Alexis Nicolas,Chelsea F.C.,United Kingdom
Jeffrey Ntuka,Chelsea F.C.,South Africa
Peter Nicholas,Chelsea F.C.,United Kingdom
Sergio Tejera,Chelsea F.C.,Spain
Peter Brabrook,Chelsea F.C.,United Kingdom
Terry Phelan,Chelsea F.C.,Ireland
Emmanuel Sarki,Chelsea F.C.,Nigeria
Shaun Cummings,Chelsea F.C.,United Kingdom
Harold Brittan,Chelsea F.C.,United Kingdom
Alf Hanson,Chelsea F.C.,United Kingdom of Great Britain and Ireland
Allan Harris,Chelsea F.C.,United Kingdom
Allie Long,Chelsea F.C.,United States
Paul Bodin,Chelsea F.C.,United Kingdom
Billy Dodds,Chelsea F.C.,United Kingdom
Kevin Hitchcock,Chelsea F.C.,United Kingdom
Bobby Brown,Chelsea F.C.,United Kingdom
Jimmy Armstrong,Chelsea F.C.,United Kingdom
Colin Viljoen,Chelsea F.C.,South Africa
Cristian Cuevas,Chelsea F.C.,Chile
Eric Westwood,Chelsea F.C.,United Kingdom
Jim Lewis,Chelsea F.C.,United Kingdom
Joe Allon,Chelsea F.C.,United Kingdom
John Dempsey,Chelsea F.C.,Ireland
Keith Weller,Chelsea F.C.,United Kingdom
Leon Knight,Chelsea F.C.,United Kingdom
Michael Woods,Chelsea F.C.,United Kingdom
Ian Hamilton,Chelsea F.C.,United Kingdom
Paddy Mulligan,Chelsea F.C.,Ireland
Papy Djilobodji,Chelsea F.C.,Senegal
Vic Woodley,Chelsea F.C.,United Kingdom
Peter O'Dowd,Chelsea F.C.,United Kingdom
Gavin Peacock,Chelsea F.C.,United Kingdom
Ron Tindall,Chelsea F.C.,United Kingdom
Ólína Guðbjörg Viðarsdóttir,Chelsea F.C.,Iceland
Edda Garðarsdóttir,Chelsea F.C.,Iceland
Steven Hampshire,Chelsea F.C.,United Kingdom
Jan Šebek,Chelsea F.C.,Czech Republic
Andy Myers,Chelsea F.C.,United Kingdom
Cecil Allen,Chelsea F.C.,United Kingdom
Colin Lee,Chelsea F.C.,United Kingdom
Jack Cock,Chelsea F.C.,United Kingdom
Jimmy Aggrey,Chelsea F.C.,United Kingdom
Jim McCalliog,Chelsea F.C.,United Kingdom
Jimmy Ferris,Chelsea F.C.,United Kingdom
Joe Bacuzzi,Chelsea F.C.,United Kingdom
Les Allen,Chelsea F.C.,United Kingdom
Mark Falco,Chelsea F.C.,United Kingdom
Mark Stein,Chelsea F.C.,South Africa
Nana Ofori-Twumasi,Chelsea F.C.,United Kingdom
Percy Humphreys,Chelsea F.C.,United Kingdom
Roger Freestone,Chelsea F.C.,United Kingdom
Sam Millington,Chelsea F.C.,United Kingdom
Scott Minto,Chelsea F.C.,United Kingdom
Tony McAndrew,Chelsea F.C.,United Kingdom
Valerio Di Cesare,Chelsea F.C.,Italy
Warren Cummings,Chelsea F.C.,United Kingdom
Jhon Pírez,Chelsea F.C.,Uruguay
Benjamin Howard Baker,Chelsea F.C.,United Kingdom of Great Britain and Ireland
Steve Kember,Chelsea F.C.,United Kingdom
Stan Willemse,Chelsea F.C.,United Kingdom
Adam Phillip,Chelsea F.C.,United Kingdom
Adrian Pettigrew,Chelsea F.C.,United Kingdom
Adriana Martín,Chelsea F.C.,Spain
Alan Birchenall,Chelsea F.C.,United Kingdom
Alan Dickens,Chelsea F.C.,United Kingdom
Alan Dicks,Chelsea F.C.,United Kingdom
Alan Judge,Chelsea F.C.,United Kingdom
Alan Mayes,Chelsea F.C.,United Kingdom
Alan Wilks,Chelsea F.C.,United Kingdom
Alec Donald,Chelsea F.C.,United Kingdom
Alex Davidson,Chelsea F.C.,United Kingdom
Alex Greenwood,Chelsea F.C.,United Kingdom
Alfred Bower,Chelsea F.C.,United Kingdom
Allan Craig,Chelsea F.C.,United Kingdom
Allan Young,Chelsea F.C.,United Kingdom
Andy Bowman,Chelsea F.C.,United Kingdom
Andy Dow,Chelsea F.C.,United Kingdom
Andy Malcolm,Chelsea F.C.,United Kingdom
Andy Walker,Chelsea F.C.,United Kingdom
Angus Douglas,Chelsea F.C.,United Kingdom of Great Britain and Ireland
Anthony Barness,Chelsea F.C.,United Kingdom
Archange Nkumu,Chelsea F.C.,United Kingdom
Arthur Holden,Chelsea F.C.,United Kingdom
Barry Ashworth,Chelsea F.C.,United Kingdom
Benny Jones,Chelsea F.C.,United Kingdom
Bertie Hill,Chelsea F.C.,United Kingdom
Bill Barraclough,Chelsea F.C.,United Kingdom
Bill Cartwright,Chelsea F.C.,United Kingdom
Bill Dickie,Chelsea F.C.,United Kingdom
